Opening grade,Name of department,Major classification,Lecture number,Lecture name,Credits,Applicants numbers,Required minimum numbers,Professor Name,"Lecture time(월=Monday, 화=Tuesday, 수=Wednesday, 목=Thursday, 금=Friday, 월7=오후 3시, 금2=오전 10시, 화1=오전 9시)",Lecture room,비고,강의 평가
3,컴퓨터공학전공,전공선택,101613-4,기초데이터베이스,4,40,10,Kim Kyungchang,"수3,4,수6,화7","T0701,T0701,T0802",,
3,컴퓨터공학전공,전공선택,101615-1,디지털시스템설계,3,38,10,Kim Sanggon,"월3,화3,수3","T0502,T0502,T0502",,"강의록과 실습내용에 오타가 있기는 하지만, 그래도 족보를 직접 올려주시는 것과 녹강이 존재하는 것 등 학생들의 여러 편의를 봐주시려는 것이 정말 감사합니다.

수업 너무 대충하시고 몇 년째 오타도 수정 안된 수업자료를 고치지도 않고 계속 쓰실 정도로 성의가 없으심. 그냥 마냥 꿀빨 생각으로 들을 거라면 추천하지만 솔직히 뭘 얻어갈 수 있는 수업은 절대 아닌듯.

오타 투성이 강의록+과제 해답에 질문 답도 제대로 안해주심. 곤데통 들은 기억으론 학점은 괜찮게 주시는거 같은데 왜 이거 듣는지 모르겠음. 등록금 아깝다 생각하는 사람은 다른거로 전공 채우면 될듯

그냥 교양듣는 느낌. 전공 학점채우는거에 의의를 두자"
3,컴퓨터공학전공,전공선택,101615-2,디지털시스템설계,3,51,10,Kim Sanggon,"월2,화2,수2","T0502,T0502,T0502",,
3,컴퓨터공학전공,전공선택,101616-1,문제해결기법(*),3,13,10,Kim Hankyu,"월6,7,수7","T0701,T0701",,"진짜 별로임 제발듣지마 스프링 그냥 독학해 최악의수업

과목준비는 많이 해오셨으나 수업 20분 초과하는 건 기본, 무슨 얘기인지 이해 어렵

내가 뭘 들은건지 모르겠다. 과목 준비는 많이 해오신것같지만........

비추천합니다. 독학이 나아요. Jpa 다대다 매핑도 실제로 절대써서는 안되는 방법인데 그냥 이거쓰면 된다 그러시고 맨날 강호에 나가면 어쩌구 하는데 야기서 배운 내용으로 절대 프로젝트 못하구요 결국 새로 공부해야해요. 그리고 제일 별로인점은 수업시간은 너무 오바하고 쓸대없는 말을 너무 많이해요. 한큐는 비대면일때 강의력이 올라가는거 같네요."
3,컴퓨터공학전공,전공선택,101617-2,기계학습기초,3,28,10,Park Jun,"화4,5,수4","T0502,T0502",,"아는 동기랑 같이 들을거 아니면 절대 비추 생각없는 어중이떠중이들이랑 팀플 랜덤조 잡히면 그냥 답이 없음 얘들은 어떻게 홍대에 왔지 싶을정도로 멍청한 팀원들이랑 같이 멍청한 결과물 내야함 근데 팀플이 제일 큰 비중임 최소 시험급 비중인거같음.. 같이 들을 사람 없으면 절대 신청 ㄴㄴ 그리고 크게 배우는것도 없음 개론정도의 교양강의? 그래도 학점은 꽤 잘주려고 하는거 같음

학교에서 몇안되는 수강한 과목 후회하는것. 기본 개념은 훑는식으로 진행됩니다. 그러다보니 노베입장에서는 이해가 안되고  그럼 과제가 안됩니다. 본인 전공 4점넘고 코드구현하는  과목은 다 a+이였는데  개념이 이해가 안되니까 블로그찾아서 코드로 개념이해가 최선이였고,게다가 프젝까지.. 이런과정은 최소 전공2개 급 시간을 들었다고 생각합니다. 만약 자신이 꼭 인공지능 분야로 가고 싶고 시간이 너무 널널하다 이러면 고려해보세요. 절대 다양한 분야를 해보고 싶다는 안일한 마음으로 하면 안될 수업입니다

친절하고 열심히 가르쳐주십니다. 목소리가 조금 작아요. 마이크를 쓰시긴 하는데 그래도 집중 안하면 내용이 귀에 잘 안들어옴

개념 진짜 너무 어렵고 팀플 잘못걸리면 학점은 저 밑으로.."
3,컴퓨터공학전공,전공선택,101617-3,기계학습기초,3,57,10,Park Jun,"화6,수5,6","T0502,T0502",,
3,산업·데이터공학전공,전공선택,140618-1,신뢰성공학,3,9,10,Jeon Hongbae,"화6,7,8",T1001,,"기말 팀플을 웬만하면 점수 잘 주셔서 중간+개인과제를 잘 챙기셔야 합니다! 출석은 잘 안하셔요

문과생 출신이라..수학문제는 어렵긴한데 교수님이 좋으신분인거같아요 기말대신 프로젝트입니다

팀플 한번에 시험 한번이여서 부담은 덜했지만 팀플 조원편성에서 당락이 갈립니다.

프로젝트형 수업으로 바뀌고 시험범위가 대폭 감소하여 좋다. 다만 결국 프로젝트가 중요하고 결국 팀원 운이 중요하다. 개개인의 참여도도 채점하기 때문에 자신의 노력에 따라 점수를 만회할 수 있다. 3-2 수업 대다수가 팀플이 생겨 팀플을 피하기는 힘들고 그 중에선 무난한 수업이라 생각한다."
3,산업·데이터공학전공,전공선택,140620-1,감성인터페이스설계,3,12,10,Kim kyungdo,"목6,7,8",T1004,,"중간기말 합쳐서 시험봄. 일단 수업 내용은 안빡세지만. 이게 모이면 빡셈. 그리고 교수님 시험 문제도 조금 난해하고 어려움. 암기 잘하는 사람한테 그나마 추천. 팀원들이랑 팀플 엄청 해야함. 미대생 있는게 유리하고, 타과생인 필자는 B+ 받음. 그냥 무난했던거 같음. 근데 만약 팀원이 적극적이지 않으면 개 힘들듯. 교수님 피드백 엄청 날카롭고 무서움. 그래도 난 얻어간게 있는 수업이였다고 봄

사실 뭘 얻어갔다고는 할 수가 ...없는... 팀원과 새벽에 프로젝트 하며 얻은 동지애정도... 수업내용은 미대스럽다가 프로젝트도 그렇다가 평가는 갑분 데이터분석쪽인... 아무튼 팀플 잘하면 잘받고 망하면 같이 망하는... 근데 시험문제도 좀 난해함... 일단 개빡센 강의라서 다시 들을꺼냐 하면 ...절대...노놉 그리고 팀플 시작하면서 부터 매주 피드백받는데 교수님한테 말로 두드려맞음...대박임 아 그리고 주제는 그냥 시럽으로 하는데 나음... 시럽주제 한 조는 데이터도 얻을 수 있고 무튼 편애가 있긴 함...참고하세요... 미대친구 꼭 있는게 좋고 ..데이터분석 할 수 있는 친구도 꼭 있어야함

많은 걸 얻어가는 수업은 아니지만 타과생이 듣기에는 부담이 없는 수업이었다 중간 기말 발표가 있고 특히 기말발표때  많은 날카로운 질문을 하신다 그리고 중간 기말 시험도 중요하다 팀플이 망한거 같다면 시험으로 충분히 메꿀 수 있다

수업도 쉽고 시험도 매우 쉽지만 팀플이 망하면 학점이 망해요. 중간기말 합쳐서 1문제 틀렸으나 팀플 망해서 B나옴"
3,산업·데이터공학전공,전공선택,140621-1,원가분석,3,14,10,Park Heeseok,"수5,6,7",T1003,,
3,산업·데이터공학전공,전공선택,140714-1,데이터마이닝,3,20,10,Park Jangho,"수1,2,3",T1002,,
2,컴퓨터공학과,전공필수,013312-1,자료구조및프로그래밍,4,32,10,Song Hayoon,"목7,8,금5,6","T0802,T0802",,"진도 매우빠르게 나갑니다. 강의력은 생각보다는 좋으셨어요. 이번에 과제도 많이 줄여주셔서 생각보다 할만하네요 자만 진도가 매우 빠릅니다. 그래서 복습이 필수일거 같아요

과제는 많이 줄여주셔서 좋다. 근데 수업이 진짜 따라가기 힘들다 예습 안 하셨으면 다른 수업 추천 그냥 멍 때리다가 옴

속도가 빠르고 우리가 알고있다는걸 전제로 수업을 쭉쭉 나가셔서 힘듦

교수님이 맞지 않을 수도 있으니까 잘 생각하고 신청하세요"
2,컴퓨터공학과,전공필수,013312-2,자료구조및프로그래밍,4,51,10,Song Hayoon,"화8,9,금8,9","T0802,T0802",,
2,컴퓨터공학과,전공필수,013312-3,자료구조및프로그래밍,4,58,10,Lee Hyeyoung,"월6,7,금6,7","T0802,T0605",,"교재를 읽어 보니 문득 나같은 말하는 감자도 이해되는 강의인 혜자구가 새삼 대단하다고 느껴지네

요약과제가 귀찮긴 하지만 익숙해지면 금방해서 ㄱㅊ아요

타과생인데 교수님이 되게 열정 가시고 가르쳐주시고 알기쉽게 떠먹여주시는 점이 좋았습니다 듣길 잘한 것 같아요

과제 코드 웬만하면 수업시간에 다 알려주셔서 정말 편하고 숙제도 쉬운 편이에요. 단, 단원요약과제를 매 단원마다 써야되는 게 귀찮"
2,컴퓨터공학과,전공필수,013312-4,자료구조및프로그래밍,4,63,10,Lee Hyeyoung,"화2,3,금2,3","T0701,T0605",,
2,컴퓨터공학과,전공필수,013312-5,자료구조및프로그래밍,4,60,10,Bae Sungil,"화5,6,목5,6","T0501,T0501",,
2,컴퓨터공학과,전공필수,013312-6,자료구조및프로그래밍,4,64,10,Bae Sungil,"화8,9,목8,9","T0501,T0501",,
2,컴퓨터공학과,전공필수,013312-7,자료구조및프로그래밍(*),4,23,10,Leonard Mcmillan,"월1,2,목1,2","T0602,T0602",외국인 신임교원(Leonard Mcmillan 교수) 강의 예정,
2,컴퓨터공학과,전공필수,013312-8,자료구조및프로그래밍(*),4,48,10,Leonard Mcmillan,"화7,8,목7,8","T0602,T0602",외국인 신임교원(Leonard Mcmillan 교수) 강의 예정,
2,컴퓨터공학과,전공선택,013313-1,논리회로설계및실험,4,19,10,Kim Hankyu,"월8,9,금6,7","T0801,T0801",,"도망치세요. 도망치세요. 1점대인 이유가 있습니다. 범위 많고 수업 최악에, 매주 과제가 있습니다.

학생의 자존감을 깎아내리는 강의 I am 감자에요

큐 괜히 큐논은 피하라는 말이 있는게 아님 1. 강의력 최악 수업도 안하고 쓸데없는 소리만 많이함 2. 과제 개많고 실습도 바라는게 너무 많으면서 출결도 안하는데 앉아있는 몇안되는 학생들한테 꼽줌 3. 족보없으면 듣지 마세요 수업도 대충하고 배운것도 없는데 시험문제는 더럽게 어려우면서 족보만 숫자 안바꾸고 답도 똑같음

시간 낭비하고 싶은 분들께 추천합니다… 지금 연계된 전공을 이해 못하고 있어요."
2,컴퓨터공학과,전공선택,013313-2,논리회로설계및실험(*),4,50,10,Leonard Mcmillan,"화4,5,목4,5","T0802,T0602",외국인 신임교원(Leonard Mcmillan 교수) 강의 예정,
2,컴퓨터공학과,전공선택,101408-1,어셈블리언어및실습(*),3,64,10,Park Jaeyoung,"화3,수3,목3","T0702,T0702,T0702",,"영어 수업이지만 한국어로 수업하시고 내용은 깊게 안들어가서 가볍게 듣기 좋습니다

개굿 jyp가 최고야 교수님이 자구 데통 다 해주시믄 좋겠다

킹갓 jypdeca 무조건 들으시기를 바랍니다

강의하신 내용에서 시험 다 나오니까 꼭 집중해서 듣는걸 추천드립니다!"
2,컴퓨터공학과,전공선택,101408-2,어셈블리언어및실습(*),3,64,10,Park Jaeyoung,"화4,수4,목4","T0702,T0702,T0702",,
2,컴퓨터공학과,전공선택,101408-3,어셈블리언어및실습(*),3,64,10,Park Jaeyoung,"화6,수6,목6","T0802,T0702,T0702",,
2,컴퓨터공학과,전공선택,101408-4,어셈블리언어및실습,3,64,10,Kim Ildo,"월2,3,화2","T0802,T0501",,"어셈블리어 자체가 좀 그런 과목이라 그렇지 그럭저럭 나쁘지 않아용 ㅎㅎ

흠.. 솔직히 강의력도 처참하고요 연세가 있으신지 엄청 고지식하세요. 시험문제는 손코딩에다가 본인이 고수하는 방식이 아니면 코딩 완벽해도 틀려요. (근데 본인이 원하는 방식을 시험에 표시 안해줌) 시험 문제가 엄청 서술이 애매한데 풀이는 매우 완벽하시길 바람. 그리고 질문 하라면서 질문하면 살짝 짜증내시고 대충 넘어가심. 박어셈듣는거 추천

책을 꼭 구매하시고 챗지피티와 유튜브 참고하셔서 공부하셔야 합니다. 컴공 과목 특성상 교수님께서 앞에 내용을 대충 넘어가고 뒤에 설명하시는 편이라 난해해요.

책을 구하셔서 혼자 공부하시고 교수님 수업은 책에 없는 내용 보강하는 정도로만 참고하세요. 열정적이시긴 하나 본인도 본인이 가르치는 내용을 잘 모르시는 거 같은게, 질문을 해도 질문에 대한 답을 안 해주시고 이상하게 딴 소리 하시고 설명도 종종 틀리십니다. 중간고사는 ox 문제랑 손코딩하는 문제 나왔어요. 특히, 마지막 손코딩 문제는 정적변수를 어떻게 set, load, store 해서 사용하는지가 중요하니 그 부분 잘 보세요."
2,컴퓨터공학과,전공선택,101408-5,어셈블리언어및실습,3,64,10,Kim Ildo,"월7,8,화3","T0501,T0501",,
2,컴퓨터공학과,전공선택,101410-1,데이터통신,3,83,10,Park Junsang,"월2,3,수2","T0501,T0501",,"내용이 어려워서 따라가기 힘듭니다 예습 복습 필수고 중간 때 한번 기말 때 한번 쿼즈 봅니다 공부하면서 따라가면 무난한듯?

말이 빨라서 따라가기 어려웠지만 쿨하셔서 괜찮았다. 내용이 어렵다

어렵고 내용도 많고 교수님도 깐깐하셔서 좀 힘글어요ㅠㅠ

어렵습니다 어렵습니다 진짜 어렵슺니다 어려운대 말이 빠르십니다 수업 중간에 나가면 감점입니다"
2,컴퓨터공학과,전공선택,101410-2,데이터통신,3,33,10,Park Junsang,"월6,화3,수3","T0501,T0802,T0802",,
2,컴퓨터공학과,전공선택,101410-3,데이터통신,3,82,10,Park Junsang,"화4,5,수4","T0801,T0801",,
2,컴퓨터공학과,전공선택,101410-4,데이터통신,3,59,10,Kim Sanggon,"수5,목34","T0503,T0503",,"교수님이 수업 내용을 잘 모르시는 것 같다. 강의록의 절반은 오타이고 눈이 안 좋으신지 강의록을 반대로 읽으신다. 기출 그대로 나온다고 했는데 이번엔 그것도 아니었음. 배워가는게 없다

강의 자체가 엄청 널널합니다. 부담감없이 듣기 좋아요.

기출이랑 숙제문제 그리고 중요 개념만 알고 가면 학점 따기 쉬움 성젇 후하게 주시는 듯 그 대신 실수 하면 등수 쭉쭉 내려감

기출이랑 강의록 예제랑 과제에서 거의 다 내심 좀만 열심히 하면 에제 쌉가능"
2,컴퓨터공학과,전공선택,101412-1,멀티미디어응용수학,3,48,10,Park Jiheon,"월8,9,금7","T0701,T0701",,"교수님은 진짜 좋으신데 전달력은 그저 그런듯 교수님만의 말투에 적응 안되면 한학기 내내 고생함 과제 답이랑 기출은 다 올려주시는데 기출 답은 없음

조별과제 없어서 좋고 역시나 반복해주시기 때문에 듣다보면 벡터가 뭔지 몰라도 알아서 쁘며든다. 강의록 제공하셔서 교수님 수업에 집중하면 된다. 언제나 질문 무제한이고 과제 또한 강의록에 풀이와 답이 나와있어서 그대로 쓰면 된다. 시험 족보는 기출을 다 올려주셔서 그거 반복하면 된다. 학점은 말해뭐해 은혜롭다. 결론 : 쁘띠단이면 들어야하셔

족보 겁나 풀어제끼면 가능 수업은 좀 판서가 어지러워서 집중 못할수도...

전체적으로 과목에 대한 부담은 적다. 과제도 직접 풀어주시고 족보도 나누어 주신다. 다만 과목 자체가 벡터에 치우쳐져있어 벡터를 좀 하는 사람에겐 강추, 그렇지 않다면 추천할 수 있을지는 모르겠다. 수학 베이스가 없어도 평균 정도만 받으면 비쁠은 노릴만 한 수업"
2,산업·데이터공학과,전공선택,140419-1,데이터베이스기초,3,63,10,Lee Yongo,"목2,3,4",T1001,,
2,산업·데이터공학과,전공선택,140420-1,의사결정(2),3,16,10,Ok Changsoo,"수5,6,7",T1011,,
2,산업·데이터공학과,전공선택,140420-2,의사결정(2),3,8,10,Ok Changsoo,"목5,6,7",T1011,,
2,산업·데이터공학과,전공선택,140421-1,데이터전처리,3,50,10,Ha Junghoon,"월1,2,3",T1001,,
2,산업·데이터공학과,전공선택,140422-1,R데이터분석,3,31,10,Park Seho,"화2,3,4",T1003,,
2,산업·데이터공학과,전공선택,140422-2,R데이터분석,3,30,10,Park Seho,"월6,7,8",T1003,,
4,컴퓨터공학전공,전공선택,101612-1,비디오이미지프로세싱(*),3,47,10,Kim Taehyung,"월6,화6,7","T0605,T0701",,"친절하고 꼼꼼하게 가르쳐주십니다. 항상 웃으시면서 학생들에게 존중하는 자세 보여주세요. 질문에도 성심성의껏 답변해주십니다.

플젝도 할만했고 강의록도 깔끔함. 시험도 한번밖에 안봐서 좋았음 무엇보다 교수님이 친절하심

이번 학기 최고의 선택, 기계학습기초와 동시에 수강했는데 이 과목에서 배워가는게 더 많았음, 영어도 크게 문제안되었음

우리학교 인공지능 커리큘럼이 바뀐 첫 해여서 그런지 기초적인 인공지능 이론부터 다뤄주셨습니다. 풀 영어강의였지만 이해에 전혀 지장 없었고 수업 내용도 좋았습니다. 기말은 팀 프로젝트로 대체되었는데 모든 팀이 퀄리티가 좋았습니다. 인공지능과 컴퓨터 비전에 관심 있는 학생은 꼭 수강하고 교수님과 이야기해보면 도움이 될 것 같습니다."
4,컴퓨터공학전공,전공선택,101717-1,AIML응용프로젝트1(*),3,19,10,Kim Eunsam,"월10,11,12",T0701,,
4,컴퓨터공학전공,전공선택,101811-1,창직종합설계프로젝트1(*),3,20,10,Lee Yoonkyu,"화10,11,12",T0502,,"꿀과목. YK 교수님 최고최고!!!!! 영어 강의라 +1 학점 가능

이윤규 교수님 스윗하시고 유머감각도 있으시고 젊으셔서 그런지 형 느낌이 납니다 ㅎㅎ 졸프 수업만 들어서 다른 과목도 수강해보고 싶은 교수님 입니다. 졸프 수업 피드백 성적 모두 만족 했습니다. 영어 수업을 진행해서 절평이였고 저는 4.5 받았습니다. 이윤규 교수님 체고체고체고!!!

교수님께서 날카로운 안목을 가지고 계십니다. 그 안목에 맞춰서하다보면 가공되어져가는 빛나는 프로젝트.. 유쾌하시고 팀플도 신경쓰셔서 협업툴을 쓰게하셔서 트러블없이 할 수 있었어요! 성적까지 만족스럽습니다"
4,컴퓨터공학전공,전공선택,101812-1,창직종합설계프로젝트2(*),3,22,10,Kim Hankyu,"월10,11,12",T0801,,"발표가 2주마다 1회씩 고정으로 있기는 한데..... 졸업은 시켜주시네요.. 그냥 부담없이 듣기 좋았습니다.

발표가 너무 많음… 솔플 할수 있는건 좋은데… 학점도 그냥 저냥 주시는 듯…

널널하게 진행됨. 교수님이 프로젝트에 그다지 관심도 크게 없음. 적당적당히 하고싶으면 들어도 무방

듣지 말랬지 꼭 하지 말라는 것만 골라서 해요 에휴"
4,컴퓨터공학전공,전공선택,101812-2,창직종합설계프로젝트2(*),3,18,10,Park Jiheon,"화10,11,12",T0605,,"우선 영어강의 인것에서 좋고 보고서만 제때잘내시면 크게문제될건없습니다

열심히 A받고싶으면 윤으로 무난하게 A받고싶으면 여기로 일단 졸프는 영어강의다"
4,컴퓨터공학전공,전공선택,101812-3,창직종합설계프로젝트2(*),3,22,10,Ha Ran,"월10,화10,수1","T0702,T0702,T0702",,
4,컴퓨터공학전공,전공선택,101812-4,창직종합설계프로젝트2(*),3,20,10,Kim Sun il,"화10,11,목10","T0503,T0503",,
4,컴퓨터공학전공,전공선택,101812-5,창직종합설계프로젝트2,3,21,10,Song Hayoon,"월10,11,12",T0503,,
4,컴퓨터공학전공,전공선택,101812-6,창직종합설계프로젝트2,3,21,10,Park Jun,"화10,11,12",T0801,,
4,컴퓨터공학전공,전공선택,101812-7,창직종합설계프로젝트2(*),3,19,10,Lee Hyeyoung,"수10,11,12",T0701,,
4,컴퓨터공학전공,전공선택,101812-8,창직종합설계프로젝트2(*),3,22,10,Park Junsang,"수10,11,목10","T0802,T0802",,
4,컴퓨터공학전공,전공선택,101812-9,창직종합설계프로젝트2(*),3,27,10,Kwon gunwoo,"월10,11,12",T0501,,
4,컴퓨터공학전공,전공선택,101812-10,창직종합설계프로젝트2(*),3,26,10,Park Jaeyoung,"수11,12,13",T0502,,
4,컴퓨터공학전공,전공선택,101814-1,AIML응용프로젝트2(*),3,20,10,Bae Sungil,"수10,11,12",T0702,,
4,컴퓨터공학전공,전공선택,101814-2,AIML응용프로젝트2(*),3,23,10,Kim Taehyung,"월10,화10,수10","T0802,T0802,T0801",,
4,컴퓨터공학전공,전공선택,101815-1,블록체인,3,50,10,Park Junchul,"월8,화8,금2","T0802,T0801,T0801",,"강의력 최고지만 시험 진짜 너무 어려웠어요 보통 난이도도 아니었어요 생각하기론 2/10 정도 푼 것 같은데 비쁠인 거 보면 다들 어려웠던 건데ㅠ

언제나 준철 교수님은 후회 없는 선택입니다. 블록체인 배워보니 너무 어렵습니다.

좋은 강의력과 흥미있는 과목이라 재미있기 잘먹었습니다

강의력 5점. 정정기간으로 가면 드랍합니다. 그 이유 요약 : 학점 따기 어려움 1. 시험이 나랑 정말 안 맞는 거 같다,, 2. 시험범위가 기말 : 중간+기말이라서 범위가 너무 많다 3. 3학년, 4학년때 할 과목이 정말 많은데 블체 하나 끼어있다는 이유로 시험기간이 정말 너무 고달파진다."
4,컴퓨터공학전공,전공선택,101815-2,블록체인,3,70,10,Park Junchul,"월9,화9,금3","T0503,T0801,T0801",,
4,컴퓨터공학전공,전공선택,101816-1,딥러닝자연어처리,3,12,10,Park Jun,"월7,8,화8","T0505,T0505",,
4,산업공학전공,전공필수,140715-1,시스템분석,3,4,10,Ok Changsoo,수91011,T1011,,
4,산업공학전공,전공필수,140815-1,시스템설계(캡스톤디자인),3,12,10,Park Heeseok,"월10,11,화9","T1003,T1003",,
4,산업공학전공,전공필수,140815-2,시스템설계(캡스톤디자인),3,13,10,Ha Junghoon,"월10,11,화10","T1002,T1002",,"하정훈 교수님 답게 까다롭고 힘든데 끝나면 확실히 남는 거 있음 학점 짜다는데 다른 학생들 더 낮은 학점 안 주려고 상위권 사람들한테 좀 짜게 준 경향 있는듯

학부연구생 아니면 ㅌㅌ ㅋㅋ 근데 학점도 뭔가 애매함"
4,산업공학전공,전공선택,140828-1,고급통계분석(*),3,7,10,Park Seho,"목2,3,4",T1003,,
4,산업공학전공,전공선택,777002-1,빅데이터기반경영 / 사업타당성분석,6,12,10,"Jeon Hongbae, Kim Seungbum","월78,목67,목89","B104,B104,B104",,
